horizon,blend_RMSE,direct_RMSE,recursive_RMSE,blend_MAE
1,1.8105991719133379,1.832974193131106,1.7971769048536568,0.9038135624666886
2,1.6498925442274515,1.671084890356252,1.637973075512062,0.8716274834987595
3,1.7271685359918731,1.7372278602537439,1.7353878160943983,0.8845789016721045
4,1.7027393800681376,1.717577682616158,1.7058647944985366,0.8943355803226263
5,1.9193098393073202,1.9420946060861062,1.9191598656868942,0.9939823727801816
6,2.070982996127306,2.086132552246838,2.093117481933895,1.0985419492660182
7,2.1655809428601263,2.1746772121233224,2.203700250674696,1.148100999494392
8,1.9954481604019583,2.0079659709115765,2.0251960286788804,1.020083450757393
9,2.166636299011436,2.1943318324669963,2.1668825729533285,1.0297550139035705
10,2.0605735273851553,2.0694183469453704,2.0789173652931217,0.9827639443142265
11,2.009955618043731,2.024469375449658,2.030968326654508,1.0043524092126754
12,2.309474480739102,2.3332305571147307,2.324783283533862,1.0703749855298998
13,2.469135106201024,2.5061052835265563,2.477459779506878,1.1994057127374755
14,2.1925988393870863,2.205251273386259,2.223642805986863,1.0822713380774245
15,2.231817181747569,2.2617334644102023,2.2391852872926745,1.0745178934136055
16,1.9449438753503319,1.966966830364892,1.955056631670601,0.9882068492695916
17,2.1744125321314507,2.204149973852943,2.1703981338406697,1.0200458364951759
18,1.9858110279820187,2.0016460619064467,2.04140667774536,1.0018189864126783
19,2.06802562912973,2.1179761566868005,2.091102081963957,1.0590852986241077
20,2.4408636574792197,2.506511681144894,2.4738619424279737,1.1930164196616981
21,2.7627054704210905,2.8167461273900316,2.806097365820019,1.278759472015944
22,2.072377785216378,2.094763032630439,2.120969067368119,1.0307691179470064
23,1.9132438584092362,1.928297379298359,1.9544331760854918,0.9756513465109277
24,1.8502227481279836,1.8611173245732706,1.8988238922515173,0.9476129415789324
25,1.8605115905403342,1.8731321046601734,1.9220062693898194,0.9500890682052068
26,1.9520330898240308,1.9989004430824664,1.995556735949866,1.0237298558202244
27,2.299013081498673,2.364758330248508,2.3625123790398104,1.1738795376355182
28,2.380665660855762,2.4423616296352995,2.4314444767593506,1.2053112417483733
