FOODS,HOBBIES,HOUSEHOLD,d
23178,3764,5689,d_1
22758,3357,5634,d_2
17174,2682,3927,d_3
18878,2669,3865,d_4
14603,1814,2729,d_5
22093,3220,3898,d_6
20490,2944,4576,d_7
27751,3986,6195,d_8
24862,2899,4975,d_9
18901,2615,4056,d_10
16963,2547,3561,d_11
17655,2457,3546,d_12
17340,2700,3716,d_13
19038,2822,4585,d_14
25187,3699,5947,d_15
26656,3417,6307,d_16
16015,2233,3556,d_17
17425,2554,4091,d_18
15351,2170,3922,d_19
14290,2049,3979,d_20
16594,2284,4843,d_21
20938,4142,6609,d_22
20028,2978,6277,d_23
16373,2735,4858,d_24
14043,2459,3999,d_25
13932,2758,4067,d_26
13733,2559,3985,d_27
15480,2675,4374,d_28
19905,4088,5915,d_29
20660,2118,5929,d_30
15066,1771,4403,d_31
16568,1833,4471,d_32
16218,1675,4153,d_33
17242,1855,4378,d_34
17512,1653,4407,d_35
23072,2096,6034,d_36
24909,3795,6172,d_37
17588,2687,4287,d_38
16280,2519,3953,d_39
16039,2955,3566,d_40
16007,2686,3933,d_41
18125,2688,4759,d_42
22545,3630,6050,d_43
22239,3282,5896,d_44
17859,2500,4576,d_45
17284,2522,4215,d_46
15685,2736,4344,d_47
15081,2434,4264,d_48
16267,2687,4901,d_49
20467,3702,6430,d_50
20289,3174,6180,d_51
15973,2499,4629,d_52
14176,2303,4013,d_53
13214,2384,3632,d_54
12959,2347,3548,d_55
15485,3239,4626,d_56
19943,3524,6153,d_57
20229,3537,6100,d_58
14704,2738,4007,d_59
13389,2388,3804,d_60
12891,2503,3534,d_61
14675,3120,3947,d_62
19357,3544,5408,d_63
22603,3996,6879,d_64
23396,3504,6158,d_65
17511,2862,4479,d_66
17253,2393,3935,d_67
16584,2427,3645,d_68
16448,2643,3810,d_69
17212,3145,4397,d_70
22221,3501,6023,d_71
22238,3364,5934,d_72
17589,2941,4299,d_73
16825,2607,3786,d_74
15232,2572,3807,d_75
15324,2674,3966,d_76
18016,2807,4659,d_77
19817,3371,6046,d_78
20547,3026,6214,d_79
15127,2790,4472,d_80
13454,2179,3841,d_81
13799,2356,4033,d_82
13741,2176,3851,d_83
16889,2474,4916,d_84
20924,3058,5593,d_85
16870,2446,4702,d_86
12922,2865,4217,d_87
11883,2517,3713,d_88
11616,2515,3798,d_89
11680,2500,3965,d_90
14714,2907,5114,d_91
17776,4039,6286,d_92
19746,3381,5918,d_93
15703,2590,4544,d_94
16581,3002,4497,d_95
14160,2549,4052,d_96
14778,2605,3801,d_97
17267,2828,4391,d_98
19679,3466,5267,d_99
16383,2880,4425,d_100
17988,2670,4366,d_101
15767,2584,3880,d_102
15180,2781,4204,d_103
15559,2811,4043,d_104
17382,3153,5113,d_105
19108,3580,6048,d_106
21766,3466,6088,d_107
15034,3001,4178,d_108
13313,2433,3867,d_109
12618,2485,3667,d_110
12732,2181,3771,d_111
14330,2886,4433,d_112
17661,3604,5847,d_113
17855,3105,5286,d_114
14392,2626,3936,d_115
13175,2336,3692,d_116
13070,2316,3672,d_117
13744,2729,4007,d_118
14825,3272,4384,d_119
17214,3214,5099,d_120
16161,2532,4756,d_121
15540,2159,4839,d_122
13042,2188,4325,d_123
15746,2478,4941,d_124
15980,2375,4326,d_125
18741,2974,5066,d_126
21155,3014,6141,d_127
22466,3204,5934,d_128
19283,2710,4692,d_129
18430,2393,4266,d_130
17456,2845,4152,d_131
17956,2593,4233,d_132
17965,3471,4983,d_133
20553,3453,5934,d_134
22662,2616,5816,d_135
18447,2695,4610,d_136
17047,2781,4327,d_137
18274,2652,4332,d_138
15713,2802,4191,d_139
17170,2836,4706,d_140
19647,3545,5633,d_141
