id,item_id,dept_id,cat_id,store_id,state_id,total_sales,mean_daily_sales,std_daily_sales,max_daily_sales,pct_zero_days
HOBBIES_1_001_CA_1_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,633,0.3261205564142195,0.7078589117498901,5,77.53735188047398
HOBBIES_1_002_CA_1_evaluation,HOBBIES_1_002,HOBBIES_1,HOBBIES,CA_1,CA,500,0.2575991756826378,0.5684475510720137,5,78.97990726429676
HOBBIES_1_003_CA_1_evaluation,HOBBIES_1_003,HOBBIES_1,HOBBIES,CA_1,CA,309,0.15919629057187018,0.5013163230449514,6,88.20195775373519
HOBBIES_1_004_CA_1_evaluation,HOBBIES_1_004,HOBBIES_1,HOBBIES,CA_1,CA,3337,1.7192168985059249,1.9862968490206976,15,32.199896960329724
HOBBIES_1_005_CA_1_evaluation,HOBBIES_1_005,HOBBIES_1,HOBBIES,CA_1,CA,1888,0.9726944873776404,1.292301304827161,9,49.35600206079341
HOBBIES_1_006_CA_1_evaluation,HOBBIES_1_006,HOBBIES_1,HOBBIES,CA_1,CA,1672,0.8614116434827409,1.5708773693315365,10,65.73930963420918
HOBBIES_1_007_CA_1_evaluation,HOBBIES_1_007,HOBBIES_1,HOBBIES,CA_1,CA,432,0.22256568778979907,0.5033896554573142,3,81.34981968057701
HOBBIES_1_008_CA_1_evaluation,HOBBIES_1_008,HOBBIES_1,HOBBIES,CA_1,CA,14137,7.283359093250902,9.175717582140251,91,27.71767130345183
HOBBIES_1_009_CA_1_evaluation,HOBBIES_1_009,HOBBIES_1,HOBBIES,CA_1,CA,2287,1.1782586295723854,2.0131359592951195,20,54.404945904173104
HOBBIES_1_010_CA_1_evaluation,HOBBIES_1_010,HOBBIES_1,HOBBIES,CA_1,CA,1391,0.7166409067490984,0.9192409169113673,6,52.189592993302426
HOBBIES_1_011_CA_1_evaluation,HOBBIES_1_011,HOBBIES_1,HOBBIES,CA_1,CA,143,0.07367336424523442,0.28752591793479654,3,93.30242143225142
HOBBIES_1_012_CA_1_evaluation,HOBBIES_1_012,HOBBIES_1,HOBBIES,CA_1,CA,761,0.39206594538897477,0.6470468783890888,3,68.83049974240082
