event_name,n_occurrences,mean_pct_lift
LaborDay,5,27.495236490075747
ColumbusDay,5,9.577787556056148
VeteransDay,5,8.797521348167594
Cinco De Mayo,5,7.124224619135839
LentStart,6,5.978293822469385
NBAFinalsStart,5,5.94837749243122
PresidentsDay,6,5.7740095420971445
OrthodoxChristmas,5,3.041569081279353
Chanukah End,5,2.4404504852018816
MartinLutherKingDay,5,2.0426303866063753
LentWeek2,6,1.9178078083699777
EidAlAdha,5,0.49315468538905805
Ramadan starts,5,0.4350792271714905
SuperBowl,6,0.3543145262217771
IndependenceDay,5,-0.006527123476358554
NBAFinalsEnd,5,-0.6835993386988314
Purim End,6,-1.1209624403770775
OrthodoxEaster,5,-2.1004999924936127
Pesach End,6,-2.512976740845728
Eid al-Fitr,5,-2.9437061701568594
MemorialDay,5,-3.2839599513668047
StPatricksDay,6,-3.70482822961448
ValentinesDay,6,-4.009561318941365
Father's day,4,-8.556979175206571
Halloween,5,-10.034387126020778
Easter,5,-11.436779867769733
Mother's day,6,-12.520357691155837
NewYear,5,-20.411848572900986
Thanksgiving,5,-29.937438831646745
Christmas,5,-99.95223373647384
