event_name,date,weekday,event_day_mean_sales,local_baseline_mean_sales,pct_lift_vs_local_baseline,n_baseline_days_used
SuperBowl,2011-02-06,Sunday,1.0736634962282716,1.0341013447031815,3.825751869266321,4
ValentinesDay,2011-02-14,Monday,0.7151197113807806,0.7802312233519186,-8.345155900249061,4
PresidentsDay,2011-02-21,Monday,0.7860282059691702,0.7877468022302394,-0.2181660726776113,5
LentStart,2011-03-09,Wednesday,0.739914726139718,0.6717218760249263,10.151947189562902,5
LentWeek2,2011-03-16,Wednesday,0.7466382420465727,0.6796785831420138,9.8516652672824,5
StPatricksDay,2011-03-17,Thursday,0.71429977041653,0.709932218213622,0.6152069297401374,6
Purim End,2011-03-20,Sunday,0.9722204001311906,1.035640100579425,-6.123720046447791,6
OrthodoxEaster,2011-04-24,Sunday,0.7877336831748114,1.0150606756313545,-22.395409251289205,5
Pesach End,2011-04-26,Tuesday,0.5940636274188258,0.722624904340221,-17.790872712693957,6
Cinco De Mayo,2011-05-05,Thursday,0.6947851754673664,0.6639007324805947,4.651966999851813,6
Mother's day,2011-05-08,Sunday,0.7769104624467038,0.9173302722204001,-15.307443134282464,5
MemorialDay,2011-05-30,Monday,0.7391931780911775,0.7920028424620092,-6.667862984767628,6
NBAFinalsStart,2011-05-31,Tuesday,0.6413578222367989,0.7221001421231005,-11.181595900106739,6
NBAFinalsEnd,2011-06-12,Sunday,1.0198097736962939,0.9061331584125941,12.545243955407582,5
Father's day,2011-06-19,Sunday,0.8562151525090194,0.9408527386028206,-8.995837777917213,5
IndependenceDay,2011-07-04,Monday,0.7554280091833387,0.8023450311577567,-5.847487072577525,6
Ramadan starts,2011-08-01,Monday,0.8726467694326009,0.8435279326555154,3.452029938761637,6
Eid al-Fitr,2011-08-31,Wednesday,0.7124631026566087,0.7649502569148354,-6.861512076604254,6
LaborDay,2011-09-05,Monday,0.9891111839947524,0.8227560948945011,20.219247251104523,6
ColumbusDay,2011-10-10,Monday,0.964283371597245,0.8594293210888816,12.20042741566173,5
Halloween,2011-10-31,Monday,0.744342407346671,0.856469334207937,-13.091762002776319,4
EidAlAdha,2011-11-07,Monday,0.8946539849130862,0.8319645785503443,7.5351052170965,5
VeteransDay,2011-11-11,Friday,0.9758937356510331,0.8901169782442331,9.636571316277525,6
Thanksgiving,2011-11-24,Thursday,0.6043620859298131,0.8714441893517001,-30.648216682766495,6
Christmas,2011-12-25,Sunday,0.0004263693014102985,1.1550606756313544,-99.96308684812793,5
Chanukah End,2011-12-28,Wednesday,0.8130862577894392,0.8698043074231988,-6.520782795590792,6
NewYear,2012-01-01,Sunday,0.7152181042964907,1.138720892095769,-37.191096671620635,5
OrthodoxChristmas,2012-01-07,Saturday,1.2182026894063627,1.1349240188039795,7.3378190277570265,6
MartinLutherKingDay,2012-01-16,Monday,1.0019022630370613,0.92851208046354,7.904063298442264,6
SuperBowl,2012-02-05,Sunday,1.31436536569367,1.186979337487701,10.731949932303607,6
ValentinesDay,2012-02-14,Tuesday,0.8232207281075763,0.8629168033234941,-4.600220445705742,6
PresidentsDay,2012-02-20,Monday,0.9910790423089537,0.9840275500163987,0.7165950071659538,6
LentStart,2012-02-22,Wednesday,0.7909150541161036,0.929858970154149,-14.942471976692516,5
LentWeek2,2012-02-29,Wednesday,0.8134470318137094,0.9060872417185962,-10.224204208986992,5
Purim End,2012-03-08,Thursday,0.9760249262053132,0.8816223898545971,10.707819746534074,6
StPatricksDay,2012-03-17,Saturday,1.24316169235815,1.300081994096425,-4.378208605053045,6
Easter,2012-04-08,Sunday,1.1876024926205313,1.2345555919973763,-3.8032389696506095,5
Pesach End,2012-04-14,Saturday,1.264217776320105,1.2695637914070186,-0.42109070242061214,5
OrthodoxEaster,2012-04-15,Sunday,1.2694981961298786,1.2597113807805838,0.7769093380128383,5
Cinco De Mayo,2012-05-05,Saturday,1.28570022958347,1.235782223679895,4.039385334005692,5
Mother's day,2012-05-13,Sunday,1.1075434568711053,1.2665026784738167,-12.551037143819007,6
MemorialDay,2012-05-28,Monday,1.095670711708757,1.0981469334207936,-0.22549092809675964,6
NBAFinalsStart,2012-06-12,Tuesday,1.1503443752049853,1.044101891330491,10.175490031831131,6
Father's day,2012-06-17,Sunday,1.2803870121351262,1.3479118836777084,-5.009590935450772,6
NBAFinalsEnd,2012-06-21,Thursday,1.0089865529681863,1.0505958237673554,-3.9605402817956636,6
IndependenceDay,2012-07-04,Wednesday,1.0710396851426698,1.0037443970700777,6.704424778761061,6
Ramadan starts,2012-07-20,Friday,1.1611020006559527,1.2067672460916148,-3.7840971888787314,6
