series_id,date,horizon,actual,pred,sq_err,hist_mean,ratio_actual_to_hist
FOODS_3_376_WI_2_evaluation,2016-05-06,12,179.0,39.90888,19346.339662854396,21.995295347621536,8.138103952277968
FOODS_3_234_WI_2_evaluation,2016-05-03,9,143.0,23.14469,14365.2953351961,26.159435441714585,5.466478828207741
FOODS_3_444_WI_2_evaluation,2016-05-15,21,106.0,0.06764,11221.6648951696,9.070047046523785,11.68681920350412
FOODS_3_816_WI_2_evaluation,2016-05-04,10,107.0,5.9893,10203.16151449,13.104025091479352,8.165430030317536
FOODS_3_090_WI_3_evaluation,2016-05-06,12,0.0,99.22995,9846.582977002501,63.478306325143755,0.0
FOODS_3_234_WI_2_evaluation,2016-05-11,17,115.0,21.35785,8768.8522566225,26.159435441714585,4.3961193373698615
FOODS_3_498_WI_2_evaluation,2016-05-07,13,100.0,8.83599,8310.8767192801,18.058024046001044,5.5377044434795195
FOODS_3_498_WI_2_evaluation,2016-05-11,17,103.0,13.19575,8064.803318062499,18.058024046001044,5.703835576783906
FOODS_3_090_CA_3_evaluation,2016-05-15,21,187.0,103.28583,7008.062258788899,130.94720334553057,1.428056462623053
FOODS_3_234_WI_2_evaluation,2016-05-16,22,98.0,14.85086,6913.7794827396,26.159435441714585,3.746258217932578
FOODS_3_454_CA_2_evaluation,2016-04-25,1,82.0,2.52228,6316.707976398401,2.6037637219027707,31.49287291708492
FOODS_3_547_WI_2_evaluation,2016-05-09,15,97.0,18.08429,6227.689284804101,21.478829064296917,4.516074861885175
FOODS_3_202_TX_2_evaluation,2016-05-03,9,91.0,12.54969,6154.451139096101,22.881338212232095,3.9770401169697527
FOODS_3_295_TX_1_evaluation,2016-05-15,21,87.0,8.6788,6134.210369440001,7.332984840564558,11.864200171086399
HOBBIES_1_261_CA_3_evaluation,2016-05-19,25,84.0,6.24657,6045.595876764899,2.102456874019864,39.95325708602685
FOODS_3_090_CA_3_evaluation,2016-04-29,5,196.0,118.47701,6009.813978540099,130.94720334553057,1.4967864528027721
FOODS_1_088_CA_1_evaluation,2016-05-18,24,77.0,1.10106,5760.649093123599,1.5415577626764245,49.949474398101046
FOODS_3_454_WI_2_evaluation,2016-05-15,21,90.0,17.01446,5326.8890490916,13.026659696811292,6.908908507223114
FOODS_3_454_WI_2_evaluation,2016-05-09,15,88.0,16.04219,5177.926419996099,13.026659696811292,6.7553772070626
FOODS_3_090_TX_3_evaluation,2016-05-07,13,146.0,75.37722,4987.577054928401,60.03868269733403,2.431765545823393
FOODS_3_547_WI_2_evaluation,2016-05-07,13,83.0,12.48352,4972.573951590401,21.478829064296917,3.8642702426440163
FOODS_3_498_WI_2_evaluation,2016-05-09,15,83.0,13.20708,4871.051682126399,18.058024046001044,4.596294688088001
FOODS_3_120_TX_2_evaluation,2016-04-26,2,71.0,1.7018,4802.240523239999,5.826450601150026,12.185806567378432
FOODS_1_043_CA_3_evaluation,2016-05-13,19,68.0,0.45533,4562.2824454089,10.699424986931522,6.355481727574751
FOODS_3_501_TX_1_evaluation,2016-05-15,21,73.0,7.21222,4328.0319973283995,6.7401986408782015,10.830541337055996
FOODS_3_120_CA_3_evaluation,2016-05-15,21,20.0,85.3649,4272.570152010001,46.41662310507057,0.43088011712371194
FOODS_3_376_WI_2_evaluation,2016-05-11,17,98.0,33.31331,4184.3678631561,21.995295347621536,4.455498253202462
FOODS_3_120_CA_1_evaluation,2016-05-22,28,114.0,49.68523,4136.389640152901,32.35703084161003,3.523191004701207
FOODS_3_681_CA_3_evaluation,2016-05-17,23,90.0,27.25231,3937.2726003361,29.031364349189754,3.100095431874246
FOODS_2_360_WI_2_evaluation,2016-05-15,21,120.0,57.6715,3884.84191225,25.11395713538944,4.778219511687446
FOODS_3_681_WI_3_evaluation,2016-05-07,13,129.0,67.15787,3824.4490429369,25.17668583376895,5.123787970018479
FOODS_1_004_WI_2_evaluation,2016-05-01,7,61.0,0.0719,3712.23336961,9.779926816518557,6.237265487198674
FOODS_2_306_CA_3_evaluation,2016-04-25,1,63.0,2.50088,3660.1435207744,2.5206481965499217,24.993571132310244
FOODS_3_444_WI_2_evaluation,2016-05-14,20,60.0,0.06285,3592.4619501225,9.070047046523785,6.615180681228748
FOODS_3_444_WI_2_evaluation,2016-05-09,15,60.0,0.07121,3591.4598708641,9.070047046523785,6.615180681228748
FOODS_3_566_CA_1_evaluation,2016-05-14,20,66.0,6.69857,3516.6596000448994,3.223209618400418,20.476483944210184
FOODS_3_681_CA_3_evaluation,2016-05-21,27,101.0,41.94507,3487.4847573049,29.031364349189754,3.478995984658876
FOODS_1_004_WI_2_evaluation,2016-05-07,13,59.0,0.17816,3460.0088609856,9.779926816518557,6.0327649794216684
FOODS_3_234_WI_2_evaluation,2016-05-05,11,82.0,23.22961,3453.9587407521,26.159435441714585,3.134624223168075
FOODS_3_547_WI_2_evaluation,2016-05-14,20,77.0,19.28785,3330.6922576225,21.478829064296917,3.5849254058263766
FOODS_3_090_CA_3_evaluation,2016-05-14,20,156.0,98.87496,3263.2701950016,130.94720334553057,1.1913198297817982
FOODS_3_090_CA_3_evaluation,2016-05-21,27,156.0,98.87521,3263.2416325441004,130.94720334553057,1.1913198297817982
HOBBIES_1_398_CA_4_evaluation,2016-05-21,27,63.0,5.8969,3260.76402961,4.052273915316257,15.546826625386997
FOODS_3_070_WI_2_evaluation,2016-05-06,12,98.0,40.99034,3250.1013333155997,14.411918452692106,6.799927457381211
FOODS_2_360_WI_2_evaluation,2016-05-09,15,117.0,60.91574,3145.4442197476,25.11395713538944,4.658764023895261
FOODS_3_444_WI_2_evaluation,2016-05-12,18,56.0,0.06358,3128.8830824163997,9.070047046523785,6.174168635813498
FOODS_3_444_WI_2_evaluation,2016-05-11,17,56.0,0.07207,3127.9333540849,9.070047046523785,6.174168635813498
FOODS_3_090_CA_3_evaluation,2016-05-13,19,143.0,87.39112,3092.3475348544,130.94720334553057,1.0920431772999817
FOODS_3_804_TX_2_evaluation,2016-05-03,9,73.0,17.49895,3080.3665511025,12.959749085206482,5.6328251048725395
FOODS_3_007_WI_2_evaluation,2016-05-16,22,79.0,24.14785,3008.7583596225004,27.19289074751699,2.90517108804306
FOODS_3_811_WI_2_evaluation,2016-05-15,21,98.0,43.64068,2954.9356708623995,15.441191845269211,6.346660347337418
FOODS_3_547_WI_2_evaluation,2016-05-15,21,73.0,19.23279,2890.9128711841,21.478829064296917,3.3986955146146167
FOODS_3_234_WI_2_evaluation,2016-05-10,16,68.0,14.2454,2889.5570211599997,26.159435441714585,2.5994444777491355
FOODS_3_412_WI_2_evaluation,2016-05-14,20,82.0,28.39775,2873.2012050625,20.525875588081547,3.994957469566546
FOODS_3_681_WI_3_evaluation,2016-05-08,14,0.0,53.47087,2859.1339385569,25.17668583376895,0.0
HOBBIES_1_234_CA_3_evaluation,2016-05-22,28,80.0,26.92925,2816.5045055625005,15.547307893361213,5.14558536749378
FOODS_3_317_WI_1_evaluation,2016-05-16,22,56.0,3.0231,2806.55193361,2.4746471510716153,22.62948880439375
FOODS_1_096_WI_2_evaluation,2016-05-19,25,0.0,52.97379,2806.2224269641,15.515420805018296,0.0
FOODS_3_444_WI_2_evaluation,2016-05-08,14,53.0,0.08986,2799.4829148196,9.070047046523785,5.84340960175206
FOODS_3_090_TX_3_evaluation,2016-05-22,28,116.0,63.12426,2795.8438805476,60.03868269733403,1.932087693941874
FOODS_3_234_WI_2_evaluation,2016-05-08,14,70.0,17.56372,2749.5634602384,26.159435441714585,2.6758987270946983
FOODS_1_004_WI_2_evaluation,2016-05-08,14,52.0,0.18023,2685.2885628528998,9.779926816518557,5.317013202202149
FOODS_2_013_WI_2_evaluation,2016-05-15,21,90.0,38.32592,2670.2105438463996,4.028750653423941,22.339431685480733
FOODS_3_090_WI_3_evaluation,2016-05-14,20,141.0,89.36628,2666.0410410383997,63.478306325143755,2.2212312861307377
FOODS_3_234_WI_2_evaluation,2016-05-17,23,65.0,13.52833,2649.3328125889,26.159435441714585,2.4847631037307916
FOODS_3_811_TX_2_evaluation,2016-05-22,28,75.0,23.54384,2647.7364019455995,16.927861996863566,4.430565420127845
FOODS_3_362_CA_3_evaluation,2016-05-01,7,0.0,51.39465,2641.4100486224997,16.66701515943544,0.0
FOODS_3_007_WI_2_evaluation,2016-05-17,23,74.0,22.729,2628.7154410000003,27.19289074751699,2.7212995001922335
FOODS_3_090_WI_3_evaluation,2016-05-21,27,126.0,74.78003,2623.4853268009006,63.478306325143755,1.9849300854785314
FOODS_3_090_CA_3_evaluation,2016-05-07,13,173.0,121.82272,2619.1139881983995,130.94720334553057,1.3211431445657122
FOODS_3_120_CA_3_evaluation,2016-05-22,28,33.0,84.17409,2618.7874873281007,46.41662310507057,0.7109521932541246
HOBBIES_1_134_TX_2_evaluation,2016-04-28,4,53.0,2.2247,2578.1310900900003,2.661787767903816,19.91142969363708
FOODS_3_804_TX_3_evaluation,2016-05-12,18,64.0,13.27781,2572.7405583961,13.369053842132775,4.787174975562072
FOODS_3_007_WI_2_evaluation,2016-05-15,21,1.0,51.68512,2568.9813894144,27.19289074751699,0.03677431757016532
FOODS_3_234_WI_2_evaluation,2016-04-28,4,64.0,13.39532,2560.8336379024004,26.159435441714585,2.44653597905801
FOODS_3_566_CA_1_evaluation,2016-05-22,28,57.0,6.8506,2514.96232036,3.223209618400418,17.68423613363607
FOODS_3_519_CA_1_evaluation,2016-05-16,22,55.0,5.03693,2496.3083638249,2.208050182958704,24.908854166666664
FOODS_3_444_TX_3_evaluation,2016-05-15,21,50.0,0.07998,2492.0083968004,7.686356508102457,6.5050326441784545
FOODS_3_412_WI_2_evaluation,2016-05-13,19,67.0,17.2466,2475.40081156,20.525875588081547,3.264172566597056
FOODS_3_752_WI_2_evaluation,2016-05-07,13,75.0,25.61996,2438.3883504016003,18.30266596968113,4.097763687773113
FOODS_3_804_TX_3_evaluation,2016-05-07,13,66.0,16.62655,2437.7375649025,13.369053842132775,4.936774193548388
FOODS_2_360_WI_2_evaluation,2016-05-14,20,107.0,57.74161,2426.3889853921,25.11395713538944,4.260579064587973
FOODS_3_234_WI_2_evaluation,2016-05-04,10,63.0,14.09609,2391.5924132880996,26.159435441714585,2.4083088543852287
FOODS_3_007_WI_3_evaluation,2016-05-07,13,60.0,11.2078,2380.67878084,11.878724516466283,5.051047350818518
FOODS_3_566_CA_1_evaluation,2016-05-11,17,53.0,4.47945,2354.2437723025,3.223209618400418,16.44323710671424
FOODS_3_519_CA_1_evaluation,2016-05-15,21,55.0,6.69522,2333.3517708484,2.208050182958704,24.908854166666664
FOODS_3_454_WI_2_evaluation,2016-05-14,20,64.0,15.76854,2326.2737337316,13.026659696811292,4.9130016051364365
FOODS_3_444_WI_2_evaluation,2016-05-16,22,48.0,0.0372,2300.43018384,9.070047046523785,5.292144544982998
FOODS_2_326_WI_2_evaluation,2016-05-06,12,0.0,47.58697,2264.5197137809,17.143753267119706,0.0
FOODS_3_070_TX_3_evaluation,2016-04-26,2,52.0,4.41859,2263.9905775880998,2.725039205436487,19.082294264339154
FOODS_3_547_CA_3_evaluation,2016-04-28,4,55.0,7.48855,2257.3378811024995,13.669106116048091,4.0236720333473555
FOODS_3_444_WI_2_evaluation,2016-05-06,12,47.0,0.06961,2202.4615055521003,9.070047046523785,5.1818915336291855
FOODS_1_004_WI_2_evaluation,2016-05-02,8,47.0,0.07229,2202.2099658440998,9.779926816518557,4.805761932759634
FOODS_1_004_WI_2_evaluation,2016-05-06,12,47.0,0.15024,2194.9000120576,9.779926816518557,4.805761932759634
FOODS_3_070_TX_3_evaluation,2016-05-09,15,53.0,6.67181,2146.3011886761,2.725039205436487,19.44926146173029
HOBBIES_1_015_CA_2_evaluation,2016-04-29,5,53.0,6.76586,2137.5957015395998,7.2958703606900155,7.264383463495021
FOODS_3_444_WI_2_evaluation,2016-05-10,16,46.0,0.04665,2111.7103762225,9.070047046523785,5.071638522275373
FOODS_2_013_WI_2_evaluation,2016-05-14,20,85.0,39.23742,2094.2137282564,4.028750653423941,21.09835214739847
FOODS_3_498_WI_2_evaluation,2016-05-14,20,62.0,16.27454,2090.8176922116,18.058024046001044,3.4333767549573024
FOODS_3_573_CA_1_evaluation,2016-04-27,3,49.0,3.41434,2078.0523976356,2.831677992681652,17.30422743215802
FOODS_3_007_WI_2_evaluation,2016-05-05,11,93.0,48.00037,2024.9667001369003,27.19289074751699,3.4200115340253747
FOODS_3_444_WI_2_evaluation,2016-05-05,11,45.0,0.04832,2020.6535348224004,9.070047046523785,4.961385510921561
FOODS_1_004_WI_2_evaluation,2016-05-09,15,45.0,0.17028,2009.7037952784,9.779926816518557,4.601261424982629
