decile,n,hist_range,base_RMSE,corr_RMSE,base_MAE,corr_MAE,mean_factor,dRMSE,dMAE
1,85428,0.01-0.09,0.5585995243667113,0.5585636484788118,0.2926565734887859,0.2926597242725658,0.9999710035975345,-3.587588789955021e-05,3.1507837799371607e-06
2,85400,0.09-0.15,0.6457436930103989,0.6457707303878358,0.4041655570257611,0.40418009970789304,0.9999748526277311,2.7037377436922583e-05,1.4542682131912787e-05
3,85288,0.15-0.22,0.7661391335667529,0.7661719820571443,0.5034567521808462,0.5034853385018836,0.999993716522269,3.28484903914239e-05,2.8586321037415985e-05
4,85792,0.22-0.32,0.9043028250410945,0.9048861550594757,0.611624207035621,0.6117449018965279,1.0000352939580957,0.0005833300183811785,0.00012069486090682258
5,85232,0.32-0.44,1.0442327445569197,1.0444633352819535,0.7126168557584006,0.712698628465405,1.0000126844885289,0.00023059072503373024,8.177270700437944e-05
6,85204,0.44-0.62,1.201639846971182,1.2020826119279442,0.8261525930707478,0.8263770486563861,1.0000825995719707,0.0004427649567622094,0.00022445558563821688
7,85428,0.62-0.87,1.3731482309788223,1.3734352195169808,0.9528573539120663,0.9530854697218977,1.0000902381453978,0.00028698853815845027,0.00022811580983139734
8,85204,0.88-1.32,1.754026462354794,1.7554340779266415,1.176065412421952,1.1765049397780465,0.9999677043933604,0.0014076155718474315,0.00043952735609442684
9,85400,1.32-2.44,2.3293709952737176,2.3315124512043766,1.5610155858313814,1.5620674895813202,0.9997512810039495,0.002141455930658953,0.0010519037499387984
10,85344,2.44-130.95,5.4722671788767885,5.49986770370578,3.2808668562523433,3.292050159199019,0.9987970328853708,0.027600524828991446,0.011183302946675688
