Model,Objective,RMSE,MAE,Accuracy (Demand > 0),Precision,Recall,F1 Score,Role
Naive - last value,none (arithmetic),2.8936,1.373,N/A - not evaluated,N/A - not evaluated,N/A - not evaluated,N/A - not evaluated,baseline
Naive - rolling mean 7,none (arithmetic),2.2487,1.0683,N/A - not evaluated,N/A - not evaluated,N/A - not evaluated,N/A - not evaluated,baseline
Naive - rolling mean 28,none (arithmetic),2.243,1.0657,N/A - not evaluated,N/A - not evaluated,N/A - not evaluated,N/A - not evaluated,baseline
Naive - seasonal naive,none (arithmetic),2.6769,1.244,0.657,0.6289,0.6027,0.6156,baseline
Global LightGBM (L2),L2 (squared error),2.1467,1.0411,0.6996,0.636,0.7967,0.7073,development
Global LightGBM + Tweedie,Tweedie (p=1.1),2.1256,1.0315,0.7039,0.6421,0.7913,0.7089,development
+ recency features,Tweedie (p=1.1),2.1258,1.032,0.7038,0.6415,0.793,0.7093,development
"Global LightGBM + Tweedie, 32 features",Tweedie (p=1.1),2.121,1.0319,0.7038,0.6413,0.7939,0.7095,ORIGINAL CHAMPION
Hurdle (two-stage),binary + Tweedie,2.1267,1.0324,0.7025,0.6393,0.7967,0.7093,development
Recursive one-step (member B),Tweedie (p=1.1),2.1182,1.0717,0.6897,0.6216,0.8148,0.7053,ensemble member
"Shape only, 36 features",Tweedie (p=1.1),2.1163,1.0299,0.7043,0.642,0.7933,0.7097,development
"Shape+Cycle, 38 features",Tweedie (p=1.1),2.1157,1.0287,N/A - not evaluated,N/A - not evaluated,N/A - not evaluated,N/A - not evaluated,SHAPE CHAMPION
Diversity blend w=0.50 (38f + 26f),"Tweedie (p=1.1), both members",2.092,1.0441,0.6967,0.6305,0.8076,0.7082,accepted #76
Diversity blend w=0.60 (38f + 32f),"Tweedie (p=1.1), both members",2.0929,1.0395,N/A - not evaluated,N/A - not evaluated,N/A - not evaluated,N/A - not evaluated,FINAL SHIPPED CHAMPION
