Model,Objective,Features,Registry RMSE,Registry MAE,Role,Predictions,RMSE,MAE,n,Accuracy,Precision,Recall,F1,Occurrence metrics,TP,FP,FN,TN
Naive - last value,none (arithmetic),-,2.893556668931385,1.3730169142107482,baseline,not saved,2.893556668931385,1.3730169142107482,853720,,,,,N/A - predictions not saved,,,,
Naive - rolling mean 7,none (arithmetic),-,2.2486762344972537,1.0682883667709808,baseline,not saved,2.2486762344972537,1.0682883667709808,853720,,,,,N/A - predictions not saved,,,,
Naive - rolling mean 28,none (arithmetic),-,2.2429529596664453,1.065729312843381,baseline,not saved,2.2429529596664453,1.065729312843381,853720,,,,,N/A - predictions not saved,,,,
Naive - seasonal naive,none (arithmetic),-,2.6768948977123297,1.2439722625685237,baseline,model_00_seasonal_naive_validation.csv,2.6768948977123297,1.2439722625685237,853720,0.6569612987864873,0.6289405352046181,0.6027429658478901,0.6155631429782866,computed,234464.0,138328.0,154531.0,326397.0
Global LightGBM (L2),L2 (squared error),32,2.1466616107812437,1.041078392600467,development,model_01_lightgbm_validation.csv,2.146661616875518,1.0410783958440708,853720,0.6995912008621094,0.6359912492765877,0.7966734790935616,0.70732161014483,computed,309902.0,177372.0,79093.0,287353.0
Global LightGBM + Tweedie,Tweedie (p=1.1),32,2.1255501535079944,1.0314754503390777,development,model_02_tweedie_validation.csv,2.12555014844854,1.0314754414679286,853720,0.7039263458745256,0.6420792667791639,0.791334078844201,0.7089360604504304,computed,307825.0,171594.0,81170.0,293131.0
+ recency features,Tweedie (p=1.1),32,2.125836195732378,1.0320399366887492,development,model_03_tweedie_recency_validation.csv,2.1258361911658934,1.03203993732137,853720,0.7037752424682566,0.6415181839355826,0.7930256172958521,0.709271272700518,computed,308483.0,172381.0,80512.0,292344.0
"Global LightGBM + Tweedie, 32 features",Tweedie (p=1.1),32,2.121042941194765,1.0319268155496617,ORIGINAL CHAMPION,model_04_tweedie_recency_listing_validation.csv,2.1210429427139523,1.0319268151267396,853720,0.7037658717143794,0.6413065147147995,0.7939048059743699,0.709493183053032,computed,308825.0,172731.0,80170.0,291994.0
Hurdle (two-stage),binary + Tweedie,32,2.1267433101785187,1.0323714448205144,development,model_05_hurdle_validation.csv,2.1267433082163154,1.0323714401911632,853720,0.7024996485967296,0.6392526873180865,0.7966554840036504,0.709326918234963,computed,309895.0,174882.0,79100.0,289843.0
Recursive one-step (member B),Tweedie (p=1.1),26,2.118165243417899,1.0716887947023863,ensemble member,opt_05_recursive_validation.csv,2.1181652407356837,1.0716887929297663,853720,0.6896617157850349,0.6216494501636662,0.8148330955410737,0.7052512365470577,computed,316966.0,192913.0,72029.0,271812.0
"Shape only, 36 features",Tweedie (p=1.1),36,2.1163241923762475,1.0298548416969369,development,exp_72_shape_validation.csv,2.1163241898578273,1.0298548393032845,853720,0.7042578362929298,0.6420127330226365,0.793267265646088,0.709670148970545,computed,308577.0,172063.0,80418.0,292662.0
"Shape+Cycle, 38 features",Tweedie (p=1.1),38,2.1156930820206945,1.0286892499701086,SHAPE CHAMPION,not saved,2.1156930820206945,1.0286892499701086,853720,,,,,N/A - predictions not saved,,,,
Diversity blend w=0.50 (38f + 26f),"Tweedie (p=1.1), both members",38,2.092000401958589,1.0440809121154488,accepted #76,exp_76_diversity_blend_validation.csv,2.0920004037475435,1.0440809117743521,853720,0.6967085227006513,0.630524006687312,0.8076273473952107,0.7081708466140397,computed,314163.0,184094.0,74832.0,280631.0
Diversity blend w=0.60 (38f + 32f),"Tweedie (p=1.1), both members",38 + 32,2.0929394037324487,1.0395171989061582,FINAL SHIPPED CHAMPION,not saved,2.0929394037324487,1.0395171989061582,853720,,,,,N/A - not evaluated (predictions not persisted),,,,
