experiment,label,objective,n_features,RMSE,MAE,high_vol_RMSE,train_s,dRMSE,dMAE
opt_05_recursive,"Recursive, 26 features (no recency/listing/horizon)",tweedie (variance_power=1.1),26.0,2.118165243417899,1.0716887947023863,5.940179943757834,113.9,-0.002877697776865862,0.039761979152724614
model_04_tweedie_recency_listing,BASE + Recency + Listing (all 32 features),tweedie (variance_power=1.1),32.0,2.121042941194765,1.0319268155496617,,116.0,0.0,0.0
opt_00_baseline_reproduce,Current best 32 features (reproducibility check),tweedie,32.0,2.121042941194765,1.0319268155496617,5.97562357662713,112.3,0.0,0.0
model_06_tuned_primary,tweedie (variance_power=1.1),tweedie (variance_power=1.1),32.0,2.121042941194765,1.0319268155496617,,114.7,0.0,0.0
opt_06_obj_tweedie_1_1,Objective: Tweedie (power 1.1),tweedie,32.0,2.121042941194765,1.0319268155496617,5.97562357662713,134.4,0.0,0.0
opt_03_highvol_calibration,High-volume predictions x1.00,n/a (rescaling of model_04 predictions),32.0,2.1210429427139523,1.0319268151267396,5.975623582817357,0.0,1.5191874425113383e-09,-4.2292214175176923e-10
opt_02_v2_A_demand,+ A. Short-term demand dynamics (4 features),tweedie,36.0,2.1232520610874115,1.031235378299994,5.987258494392271,120.8,0.002209119892646605,-0.0006914372496678034
opt_07_hurdle_v2,Hurdle v2 (32 features),"stage1=binary, stage2=tweedie(1.1)",32.0,2.1241266897668942,1.0299666326001455,5.994035161219671,163.3,0.003083748572129341,-0.001960182949516165
model_02_tweedie,Calendar + Historical demand + Price + Hierarchy + Horizon,tweedie (variance_power=1.1),27.0,2.1255501535079944,1.0314754503390777,,106.5,0.004507212313229481,-0.00045136521058397605
opt_02_v2_D_interactions,+ D. Interactions (5 features),tweedie,37.0,2.125565729160424,1.0314293291881953,5.997875772274395,120.5,0.004522787965659081,-0.0004974863614664038
model_03_tweedie_recency,BASE + Recency,tweedie (variance_power=1.1),30.0,2.125836195732378,1.0320399366887492,,114.9,0.004793254537613034,0.00011312113908745758
opt_04b_power_1_5_primary,"Tweedie power 1.5 (selected on inner, applied once)",tweedie,32.0,2.1263370733297697,1.0288997600226182,5.993063538622104,124.9,0.005294132135004848,-0.0030270555270435207
model_09_tweedie_power_1_5,tweedie (variance_power=1.5),tweedie (variance_power=1.5),32.0,2.1263370733297697,1.0288997600226182,,112.8,0.005294132135004848,-0.0030270555270435207
model_05_hurdle,BASE + Recency + Listing (all 32 features),"stage1=binary, stage2=poisson",32.0,2.1267433101785187,1.0323714448205144,,177.0,0.005700368983753812,0.0004446292708526478
opt_08_ensemble_tweedie_l1,"Ensemble of two objectives, 32 features",0.80*tweedie + 0.20*L1,32.0,2.1272078099013494,1.0127803597034157,5.992547097868836,0.0,0.006164868706584503,-0.01914645584624597
opt_02_v2_C_price,+ C. Price dynamics (3 features),tweedie,35.0,2.128111626465847,1.030689932123697,6.01183818987883,115.7,0.007068685271081954,-0.0012368834259646189
opt_02_v2_all,+ All v2 groups (14 features),tweedie,46.0,2.1320057757796596,1.0312636664480825,6.028043858925616,138.1,0.010962834584894665,-0.0006631491015791635
opt_02_v2_B_calendar,+ B. Calendar expansion (2 features),tweedie,34.0,2.1326906382221087,1.0325946206943721,6.028508299914658,115.9,0.011647697027343806,0.0006678051447104316
opt_06_obj_l2,Objective: L2 / squared error,regression,32.0,2.135125693748313,1.0388321511579883,6.042947064281178,76.8,0.014082752553548072,0.006905335608326624
opt_03_volume_weight_cap5,Volume-weighted training (cap 5.0x),tweedie (variance_power=1.1),32.0,2.137132606002145,1.033537116565808,6.048364468831469,114.3,0.016089664807380277,0.0016103010161463427
opt_03_volume_weight_cap3,Volume-weighted training (cap 3.0x),tweedie (variance_power=1.1),32.0,2.1375913119640764,1.0335581589574836,6.053047344119791,105.4,0.016548370769311482,0.0016313434078218947
opt_06_obj_poisson,Objective: Poisson (count data),poisson,32.0,2.137900822978115,1.0349839474394378,6.0568502811549525,146.6,0.016857881783350237,0.003057131889776077
model_01_lightgbm,Calendar + Historical demand + Price + Hierarchy + Horizon,regression (L2),27.0,2.1466616107812437,1.041078392600467,,65.1,0.02561866958647885,0.00915157705080527
opt_07_hurdle_v2_calibrated,Hurdle v2 (32 features),"stage1=binary, stage2=tweedie(1.1)",32.0,2.1821970356166798,1.01948933300739,6.223661180926555,163.3,0.061154094421914884,-0.012437482542271727
model_08_team_style_reproduction,Per-target-day lags/rollings with 28-day minimum lookback,tweedie (variance_power=1.1),25.0,2.183542008560477,1.0498340095079368,,179.5,0.06249906736571198,0.017907193958275114
model_00_baseline_rolling_mean_28,n/a,n/a,,2.2429529596664453,1.065729312843381,,0.0,0.12191001847168037,0.0338024972937192
opt_06_obj_l1,Objective: L1 / absolute error,regression_l1,32.0,2.2431832742268125,0.9591264683572768,6.312405627146415,189.7,0.12214033303204763,-0.07280034719238493
model_00_baseline_rolling_mean_7,n/a,n/a,,2.2486762344972537,1.0682883667709808,,0.0,0.12763329330248885,0.03636155122131912
model_00_baseline_seasonal_naive,n/a,n/a,,2.6768948977123297,1.2439722625685237,,0.0,0.5558519565175648,0.21204544701886197
model_00_baseline_last_value,n/a,n/a,,2.893556668931385,1.3730169142107482,,0.0,0.7725137277366203,0.3410900986610865
