covariate,bin,n,mean_actual,mean_pred,mean_residual,RMSE,share_of_sq_error_pct
discount_vs_regular,price >= regular,2705,1.9985212569316082,2.088527101663586,-0.09000584473197779,2.5992214366360464,0.48911935192934003
discount_vs_regular,0-2% off,770926,1.411774930408366,1.4117296495383476,4.52808700186527e-05,2.076190601018601,88.9422579086522
discount_vs_regular,2-5% off,19290,1.6283566614826335,1.5794324250907206,0.0489242363919129,2.19285594164546,2.4826382810468473
discount_vs_regular,5-10% off,29506,1.4065952687588965,1.2912640493458958,0.11533121941300076,1.787661972467494,2.523725744767363
discount_vs_regular,10-20% off,27877,2.2299386591096604,2.1191193406751085,0.11081931843455178,2.621973128096869,5.129364056082948
discount_vs_regular,20-30% off,2210,1.0348416289592761,1.0499697737556561,-0.015128144796380097,1.6935564424035343,0.16964952206828987
discount_vs_regular,30%+ off,1206,0.5132669983416253,0.7550053482587065,-0.24173834991708126,2.8557883345115793,0.26324513545301975
weeks_at_current_price,1 week,3948,1.7059270516717324,0.7107318693009119,0.9951951823708207,3.6250941107406014,1.3885986277253435
weeks_at_current_price,2 weeks,3584,1.7798549107142858,1.6646467522321429,0.11520815848214287,2.294877874670302,0.5051823571703972
weeks_at_current_price,3-4 weeks,8428,0.9205030849549122,0.8620827206929282,0.05842036426198386,2.0555532990256715,0.9531100031689743
weeks_at_current_price,5-8 weeks,45220,2.0691950464396287,2.088287620521893,-0.019092574082264484,3.4836054803849086,14.687554952252674
weeks_at_current_price,9-16 weeks,49616,1.6208078039342149,1.5685026090374075,0.052305194896807475,2.0389911698126024,5.520945438133343
weeks_at_current_price,17+ weeks,742924,1.3957080401225428,1.3952552581959932,0.00045278192654968504,1.9671450988826482,76.94460862154926
event_day,no event,731760,1.423869848037608,1.410209527604679,0.013660320432928828,2.0884464050051843,85.42330134949108
event_day,event day,121960,1.556518530665792,1.5818840744506397,-0.02536554378484749,2.1131988797755707,14.576698650508915
snap,SNAP off,548820,1.3909587843008637,1.384122045333625,0.006836738967238802,2.0049570368153815,59.047441872525106
snap,SNAP on,304900,1.5361692358150214,1.5258368144309609,0.010332421384060349,2.2401716530051337,40.952558127474894
