model,alpha,RMSE,MAE,dRMSE,dMAE,highvol_RMSE
tweedie_1.1,0.0,2.0676874552903213,1.0294145993479817,0.0,-2.220446049250313e-16,5.843623666789344
tweedie_1.1,0.05,2.062874182821186,1.0274775844572956,-0.00481327246913521,-0.0019370148906863172,5.823590116759768
tweedie_1.1,0.1,2.0593222690230024,1.0256783908432432,-0.008365186267318858,-0.0037362085047387694,5.809140047465337
tweedie_1.1,0.15,2.0570382479177622,1.0240110769286788,-0.010649207372559033,-0.005403522419303197,5.800315188693721
tweedie_1.1,0.2,2.056026344981446,1.0224889025783213,-0.011661110308875067,-0.006925696769660705,5.797141229899321
tweedie_1.1,0.25,2.0562884382492683,1.0211248567164153,-0.01139901704105295,-0.008289742631566677,5.799627448783942
tweedie_1.1,0.3,2.0578240409364756,1.019918264047104,-0.009863414353845634,-0.0094963353008779,5.807766576237346
tweedie_1.1,0.35,2.060630305948472,1.0188549661801838,-0.0070571493418492,-0.010559633167798177,5.821534902198319
tweedie_1.1,0.4,2.0647020521831045,1.017944269072215,-0.002985403107216733,-0.011470330275767049,5.840892618859614
tweedie_1.1,0.45,2.070031812060774,1.0171776305257625,0.002344356770452638,-0.012236968822219474,5.865784389718588
tweedie_1.1,0.5,2.076609899272552,1.0165310888264711,0.008922443982230632,-0.012883510521510821,5.8961401257403825
tweedie_1.1,0.55,2.084424495329243,1.0160030342235928,0.016737040038921513,-0.013411565124389124,5.931875943759053
tweedie_1.1,0.6,2.093461753139769,1.0155663839863514,0.025774297849447514,-0.013848215361630611,5.9728952775024355
tweedie_1.1,0.65,2.103705915556678,1.0152206604270109,0.03601846026635691,-0.014193938920971094,6.0190901084762345
tweedie_1.1,0.7,2.115139446607705,1.0149557151453448,0.04745199131738387,-0.01445888420263719,6.070342282440422
tweedie_1.1,0.75,2.127743172989258,1.0147664981417601,0.06005571769893692,-0.014648101206221842,6.1265248772932885
tweedie_1.1,0.8,2.1414964333305586,1.0146509129974153,0.07380897804023734,-0.014763686350566685,6.187503589678564
tweedie_1.1,0.85,2.1563772327427477,1.0146017290412805,0.08868977745242645,-0.01481287030670142,6.25313811030579
tweedie_1.1,0.9,2.172362400239356,1.0146038501959747,0.10467494494903473,-0.014810749152007308,6.323283461534381
tweedie_1.1,0.95,2.1894277467445193,1.0146517213846673,0.12174029145419807,-0.014762877963314658,6.397791274912913
tweedie_1.1,1.0,2.2075482215830595,1.0147455462278405,0.13986076629273825,-0.01466905312014144,6.476510990793682
tweedie_1.3,0.0,2.0676874552903213,1.0294145993479817,0.0,-2.220446049250313e-16,5.843623666789344
tweedie_1.3,0.05,2.0629217705047846,1.0274386662368507,-0.004765684785536628,-0.0019759331111313116,5.8236861398906425
tweedie_1.3,0.1,2.059395112068894,1.0255970937432564,-0.008292343221427245,-0.0038175056047256017,5.809226697887114
tweedie_1.3,0.15,2.0571138524488473,1.0238899087789874,-0.010573602841474017,-0.005524690568994517,5.800286309617025
tweedie_1.3,0.2,2.056082137025087,1.022326084351472,-0.011605318265234477,-0.007088514996509865,5.796890510800869
tweedie_1.3,0.25,2.0563018466128424,1.0209099008095812,-0.011385608677478842,-0.008504698538400746,5.799049041825033
tweedie_1.3,0.3,2.057772580366001,1.0196516377821534,-0.009914874924320305,-0.009762961565828565,5.806755708600692
tweedie_1.3,0.35,2.060491659425473,1.018534296638176,-0.007195795864848087,-0.010880302709805889,5.819988471108668
tweedie_1.3,0.4,2.064454151234839,1.0175545128597012,-0.003233304055482389,-0.011860086488280741,5.838709756693265
tweedie_1.3,0.45,2.069652914010608,1.0167263229534438,0.001965458720286861,-0.012688276394538178,5.8628669877943365
tweedie_1.3,0.5,2.076078660438345,1.0160284644828728,0.008391205148023939,-0.0133861348651092,5.892393307038183
tweedie_1.3,0.55,2.0837200392843975,1.015438522371419,0.016032583994076255,-0.01397607697656289,5.927208476819783
tweedie_1.3,0.6,2.0925637332794182,1.0149397882366342,0.024876277989096973,-0.01447481111134774,5.9672199259903635
tweedie_1.3,0.65,2.102594571354698,1.0145314579548463,0.0349071160643768,-0.014883141393135624,6.0123239131956945
tweedie_1.3,0.7,2.1137956531030206,1.0142027972781793,0.04610819781269937,-0.01521180206980266,6.062406774856778
tweedie_1.3,0.75,2.126148483196136,1.0139521991628153,0.058461027905814866,-0.015462400185166647,6.117346225698699
tweedie_1.3,0.8,2.139633113421612,1.0137764895114203,0.07194565813129072,-0.015638109836561664,6.1770126809734744
tweedie_1.3,0.85,2.154228289999999,1.0136586940491357,0.08654083470967766,-0.015755905298846296,6.241270571873992
tweedie_1.3,0.9,2.1699116039035795,1.013591363629093,0.10222414861325824,-0.015823235718888995,6.309979628839518
tweedie_1.3,0.95,2.186659642012793,1.0135704174174298,0.11897218672247156,-0.015844181930552148,6.38299611123141
tweedie_1.3,1.0,2.204448137106576,1.0135947266240228,0.13676068181625478,-0.015819872723959127,6.460173965940633
regression_l2,0.0,2.0676874552903213,1.0294145993479817,0.0,-2.220446049250313e-16,5.843623666789344
regression_l2,0.05,2.0648269599824527,1.028231252139369,-0.0028604953078685824,-0.001183347208612906,5.832225572797856
regression_l2,0.1,2.062245773704472,1.0270918000207439,-0.005441681585849345,-0.002322799327238112,5.8218934478940385
regression_l2,0.15,2.0599449464099036,1.0260054589348813,-0.00774250888041772,-0.0034091404131006975,5.812632976454243
regression_l2,0.2,2.0579254184502447,1.024973544886849,-0.009762036840076593,-0.004441054461132854,5.804449287657927
regression_l2,0.25,2.056188018677692,1.0239955828063567,-0.01149943661262931,-0.005419016541625243,5.79734694155175
regression_l2,0.3,2.054733462761032,1.023063835653323,-0.012953992529289415,-0.006350763694658923,5.791329916534178
regression_l2,0.35,2.0535623517225754,1.0221947653262564,-0.014125103567745878,-0.007219834021725546,5.786401598339475
regression_l2,0.4,2.052675170703084,1.0213742205928882,-0.015012284587237357,-0.00804037875509378,5.782564770591421
regression_l2,0.45,2.052072287960559,1.0206063946940218,-0.015615167329762425,-0.00880820465396015,5.779821606987703
regression_l2,0.5,2.051753954107704,1.0198908491259413,-0.01593350118261716,-0.009523750222040661,5.778173665165865
regression_l2,0.55,2.051720301591735,1.0192207251261145,-0.015967153698586145,-0.01019387422186746,5.777621882291041
regression_l2,0.6,2.0519713444190515,1.0186044995764447,-0.015716110871269784,-0.01081009977153724,5.778166572394547
regression_l2,0.65,2.0525069781261025,1.018039829447327,-0.015180477164218775,-0.011374769900655002,5.77980742548095
regression_l2,0.7,2.053326979996593,1.0175210125931726,-0.014360475293728303,-0.011893586754809338,5.782543508409533
regression_l2,0.75,2.05443100952397,1.0170564524243522,-0.0132564457663511,-0.012358146923629798,5.786373267544296
regression_l2,0.8,2.0558186091169612,1.016649993488909,-0.011868846173360037,-0.012764605859072908,5.791294533154985
regression_l2,0.85,2.057489205044751,1.0163007925547651,-0.010198250245570417,-0.013113806793216831,5.797304525540112
regression_l2,0.9,2.0594421086172665,1.0160072696782982,-0.008245346673054765,-0.01340732966968372,5.804399862831856
regression_l2,0.95,2.0616765175949285,1.015765565203903,-0.006010937695392737,-0.01364903414407892,5.81257657043196
regression_l2,1.0,2.0641915178211874,1.0155715133690404,-0.003495937469133903,-0.013843085978941572,5.8218300920178185
