level,alpha,RMSE,MAE,highvol_RMSE,agg_bottom_up_RMSE,agg_model_RMSE,n_groups,dRMSE,dMAE
store_dept,0.0,2.067687455558442,1.0294145990324697,5.843623668722869,102.28975182312682,96.61045744886238,70,0.0,0.0
store_dept,0.05,2.0662953680388716,1.0285955584778794,5.838272688229524,102.28975182312682,96.61045744886238,70,-0.0013920875195703175,-0.0008190405545902557
store_dept,0.1,2.064987311802257,1.027796316272679,5.833239289805129,102.28975182312682,96.61045744886238,70,-0.0027001437561851027,-0.0016182827597905902
store_dept,0.15,2.063763446630934,1.0270191402865094,5.828524296222541,102.28975182312682,96.61045744886238,70,-0.003924008927508105,-0.002395458745960255
store_dept,0.2,2.0626239223901037,1.0262645437740165,5.824128480787274,102.28975182312682,96.61045744886238,70,-0.005063533168338186,-0.0031500552584531327
store_dept,0.25,2.0615688789371434,1.025530193648256,5.820052566713575,102.28975182312682,96.61045744886238,70,-0.006118576621298555,-0.0038844053842137516
store_dept,0.3,2.0605984460366433,1.024819828145674,5.816297226537847,102.28975182312682,96.61045744886238,70,-0.007089009521798584,-0.004594770886795718
store_dept,0.35,2.0597127432812985,1.0241307821146626,5.812863081570493,102.28975182312682,96.61045744886238,70,-0.007974712277143414,-0.005283816917807105
store_dept,0.4,2.0589118800187594,1.0234637014897718,5.809750701387224,102.28975182312682,96.61045744886238,70,-0.008775575539682556,-0.005950897542697842
store_dept,0.45,2.0581959552845444,1.022819497738461,5.806960603360785,102.28975182312682,96.61045744886238,70,-0.009491500273897557,-0.006595101294008643
store_dept,0.5,2.0575650577411153,1.0221984685909742,5.804493252233993,102.28975182312682,96.61045744886238,70,-0.0101223978173266,-0.007216130441495494
store_dept,0.55,2.057019265623199,1.0216015097372957,5.802349059734897,102.28975182312682,96.61045744886238,70,-0.010668189935242989,-0.007813089295173992
store_dept,0.6,2.0565586466894343,1.021027775916818,5.80052838423481,102.28975182312682,96.61045744886238,70,-0.011128808869007578,-0.008386823115651643
store_dept,0.65,2.056183258180412,1.0204792418797168,5.799031530449867,102.28975182312682,96.61045744886238,70,-0.011504197378029879,-0.008935357152752843
store_dept,0.7,2.055893146783174,1.019952101141685,5.797858749186682,102.28975182312682,96.61045744886238,70,-0.011794308775268103,-0.009462497890784682
store_dept,0.75,2.055688348602212,1.0194493576492591,5.797010237132599,102.28975182312682,96.61045744886238,70,-0.011999106956229966,-0.009965241383210532
store_dept,0.8,2.0555688891370254,1.0189703448351486,5.796486136690965,102.28975182312682,96.61045744886238,70,-0.01211856642141651,-0.01044425419732109
store_dept,0.85,2.055534783266249,1.0185136936264185,5.796286535861707,102.28975182312682,96.61045744886238,70,-0.012152672292192968,-0.010900905406051153
store_dept,0.9,2.055586035238392,1.0180800454139187,5.796411468167495,102.28975182312682,96.61045744886238,70,-0.012101420320049794,-0.011334553618550958
store_dept,0.95,2.055722638669192,1.0176676609431323,5.79686091262559,102.28975182312682,96.61045744886238,70,-0.011964816889249885,-0.011746938089337355
store_dept,1.0,2.0559445765455893,1.017280983655227,5.797634793765462,102.28975182312682,96.61045744886238,70,-0.011742879012852647,-0.012133615377242668
item,0.0,2.067687455558442,1.0294145990324697,5.843623668722869,8.380676225871765,8.176114472165997,3049,0.0,0.0
item,0.05,2.0648269602527605,1.0282312518500205,5.832225574748554,8.380676225871765,8.176114472165997,3049,-0.002860495305681443,-0.0011833471824491681
item,0.1,2.062245773976446,1.0270917997434996,5.82189344985982,8.380676225871765,8.176114472165997,3049,-0.005441681581995983,-0.0023227992889700566
item,0.15,2.059944946683022,1.0260054586868594,5.812632978432996,8.380676225871765,8.176114472165997,3049,-0.00774250887541994,-0.00340914034561024
item,0.2,2.0579254187239813,1.0249735446550987,5.804449289647519,8.380676225871765,8.176114472165997,3049,-0.009762036834460641,-0.004441054377370968
